Sl. No.,Year,State/UT,Institutional Care (Homes) - Number Assisted,Institutional Care (Homes) - Beneficiaries,Open Shelters - Number Assisted,Open Shelters - Beneficiaries,Specialised Adoption Agencies - Number Assisted,Specialised Adoption Agencies - Beneficiaries,Juvenile Justice Board - Number Assisted
12,2020-21,Karnataka,87,3012,35,912,31,379,35
13,2020-21,Kerala,29,452,4,74,11,65,14
14,2020-21,Madhya Pradesh,65,2426,9,340,26,210,51
15,2020-21,Maharashtra,77,3361,7,175,18,180,39
16,2020-21,Manipur,54,1565,17,333,9,68,16
17,2020-21,Meghalaya,44,807,4,160,4,8,11
18,2020-21,Mizoram,43,969,0,0,7,49,8
19,2020-21,Nagaland,37,642,3,113,4,15,11
20,2020-21,Orissa,94,6833,12,296,27,263,34
21,2020-21,Punjab,19,604,0,0,6,77,22
22,2020-21,Rajasthan,104,4610,21,384,21,136,34
23,2020-21,Sikkim,16,450,3,50,3,19,4
24,2020-21,Tamil Nadu,197,13465,11,144,21,210,38
25,2020-21,Tripura,24,730,4,58,6,44,8
26,2020-21,Uttar Pradesh,75,4092,20,487,25,386,75
27,2020-21,Uttarakhand,23,337,4,124,5,50,13
28,2020-21,West Bengal,70,4010,37,925,25,322,23
29,2020-21,Telangana,40,1306,0,0,11,320,10
30,2020-21,Andaman & Nicobar Islands,10,359,0,0,1,1,3
31,2020-21,Chandigarh,6,277,0,0,2,20,1
32,2020-21,Dadra & Nagar Haveli and Daman & Diu,1,25,1,25,1,10,3
33,2020-21,Ladakh,NA,NA,NA,NA,NA,NA,2
34,2020-21,Lakshadweep,NA,NA,NA,NA,NA,NA,1
35,2020-21,Delhi,28,1196,9,254,3,50,6
36,2020-21,Puducherry,25,906,1,15,2,35,4
Total,2020-21,Total,1592,67864,250,6000,373,3751,717
